lane,time_min,count,flow_rate_veh_hr
Lane 1,0,18,1080.0
Lane 1,1,27,1620.0
Lane 1,2,40,2400.0
Lane 1,3,26,1560.0
Lane 1,4,48,2880.0
Lane 1,5,20,1200.0
Lane 1,6,39,2340.0
Lane 1,7,20,1200.0
Lane 1,8,35,2100.0
Lane 1,9,45,2700.0
Lane 1,10,41,2460.0
Lane 1,11,36,2160.0
Lane 1,12,22,1320.0
Lane 1,13,22,1320.0
Lane 1,14,40,2400.0
Lane 1,15,37,2220.0
Lane 1,16,37,2220.0
Lane 1,17,28,1680.0
Lane 1,18,42,2520.0
Lane 1,19,33,1980.0
Lane 1,20,32,1920.0
Lane 1,21,34,2040.0
Lane 1,22,53,3180.0
Lane 1,23,33,1980.0
Lane 1,24,31,1860.0
Lane 1,25,28,1680.0
Lane 1,26,34,2040.0
Lane 1,27,37,2220.0
Lane 1,28,22,1320.0
Lane 1,29,31,1860.0
Lane 1,30,26,1560.0
Lane 1,31,32,1920.0
Lane 1,32,27,1620.0
Lane 1,33,66,3960.0
Lane 1,34,15,900.0
Lane 1,35,38,2280.0
Lane 1,36,34,2040.0
Lane 1,37,38,2280.0
Lane 1,38,19,1140.0
Lane 1,39,25,1500.0
Lane 1,40,25,1500.0
Lane 1,41,34,2040.0
Lane 1,42,27,1620.0
Lane 1,43,43,2580.0
Lane 1,44,20,1200.0
Lane 1,45,27,1620.0
Lane 1,46,16,960.0
Lane 1,47,39,2340.0
Lane 1,48,24,1440.0
Lane 1,49,43,2580.0
Lane 1,50,30,1800.0
Lane 1,51,32,1920.0
Lane 1,52,25,1500.0
Lane 1,53,26,1560.0
Lane 1,54,25,1500.0
Lane 1,55,38,2280.0
Lane 1,56,25,1500.0
Lane 1,57,33,1980.0
Lane 1,58,34,2040.0
Lane 1,59,17,1020.0
Lane 1,60,42,2520.0
Lane 2,0,8,480.0
Lane 2,1,4,240.0
Lane 2,2,6,360.0
Lane 2,3,4,240.0
Lane 2,4,5,300.0
Lane 2,5,6,360.0
Lane 2,6,3,180.0
Lane 2,7,2,120.0
Lane 2,8,4,240.0
Lane 2,9,2,120.0
Lane 2,10,5,300.0
Lane 2,11,3,180.0
Lane 2,12,1,60.0
Lane 2,13,3,180.0
Lane 2,14,3,180.0
Lane 2,15,4,240.0
Lane 2,16,1,60.0
Lane 2,17,3,180.0
Lane 2,18,3,180.0
Lane 2,19,3,180.0
Lane 2,20,5,300.0
Lane 2,21,1,60.0
Lane 2,22,2,120.0
Lane 2,23,4,240.0
Lane 2,24,8,480.0
Lane 2,25,2,120.0
Lane 2,26,8,480.0
Lane 2,27,8,480.0
Lane 2,28,4,240.0
Lane 2,29,4,240.0
Lane 2,30,1,60.0
Lane 2,31,4,240.0
Lane 2,32,5,300.0
Lane 2,33,6,360.0
Lane 2,34,6,360.0
Lane 2,35,9,540.0
Lane 2,36,2,120.0
Lane 2,37,8,480.0
Lane 2,38,4,240.0
Lane 2,39,13,780.0
Lane 2,41,9,540.0
Lane 2,42,4,240.0
Lane 2,43,6,360.0
Lane 2,44,1,60.0
Lane 2,45,6,360.0
Lane 2,46,4,240.0
Lane 2,47,8,480.0
Lane 2,48,3,180.0
Lane 2,49,5,300.0
Lane 2,50,8,480.0
Lane 2,51,6,360.0
Lane 2,52,4,240.0
Lane 2,53,5,300.0
Lane 2,54,7,420.0
Lane 2,55,7,420.0
Lane 2,56,4,240.0
Lane 2,57,8,480.0
Lane 2,58,3,180.0
Lane 2,59,1,60.0
Lane 2,60,7,420.0
