lane,time_min,count,flow_rate_veh_hr
Lane 1,0,318,1908.0
Lane 1,10,338,2028.0
Lane 1,20,335,2010.0
Lane 1,30,320,1920.0
Lane 1,40,298,1788.0
Lane 1,50,285,1710.0
Lane 1,60,42,252.0
Lane 2,0,44,264.0
Lane 2,10,29,174.0
Lane 2,20,46,276.0
Lane 2,30,58,348.0
Lane 2,40,46,276.0
Lane 2,50,53,318.0
Lane 2,60,7,42.0
